Title,Description,Genre,Processed_Description
Yakuza: Like a Dragon,"Become Ichiban Kasuga, a low-ranking yakuza grunt left on the brink of death by the man he trusted most. Take up your legendary bat and get ready to crack some underworld skulls in dynamic RPG combat set against the backdrop of modern-day Japan.","['Action', 'Adventure', 'RPG']",become ichiban kasuga low-ranking yakuza grunt left brink death man trusted take legendary bat get ready crack underworld skull dynamic rpg combat set backdrop modern-day japan
Mini Motorways,"Mini Motorways is a strategy simulation game about designing the road map for a growing city. Build a traffic network, one road at a time, to create a bustling metropolis. Redesign your roads and place your motorways to get everyone where they need to go. How long can you keep the city moving?","['Casual', 'Indie', 'Simulation', 'Strategy']",mini motorway strategy simulation game designing road map growing city build traffic network one road time create bustling metropolis redesign road place motorway get everyone need go long keep city moving
Half-Life: Opposing Force,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.",['Action'],return black mesa research facility one military specialist assigned eliminate gordon freeman experience entirely new episode single player action meet fierce alien opponent experiment new weaponry named 'game year academy interactive art science
ROUNDS,Rounds is a 1v1 rogue-lite shooter where each round gets more intense. The losing player of each round unlocks clever upgrades to create a better build to counter their opponent.,"['Action', 'Indie']",round 1v1 rogue-lite shooter round get intense losing player round unlocks clever upgrade create better build counter opponent
Trine 2: Complete Story,"Three Heroes make their way through dangers untold in a fairytale world, featuring physics-based puzzles, beautiful sights and online co-op.","['Action', 'Adventure', 'Indie']",three hero make way danger untold fairytale world featuring physics-based puzzle beautiful sight online co-op
Dinkum,"G’Day! Get ready to start a new fair Dinkum life and build your new home out in the bush. Explore tropical eucalyptus forests, scorching deserts and cool billabongs on an Island inspired by the wild Australian outback. Take care of giant wombats, play with friends and get ready for a ripper time!","['Indie', 'RPG', 'Simulation', 'Early Access']",g ’ day get ready start new fair dinkum life build new home bush explore tropical eucalyptus forest scorching desert cool billabong island inspired wild australian outback take care giant wombat play friend get ready ripper time
Call of Juarez: Gunslinger,"From the dust of a gold mine to the dirt of a saloon, Call of Juarez® Gunslinger is a real homage to the Wild West tales. Live the epic and violent journey of a ruthless bounty hunter on the trail of the West’s most notorious outlaws",['Action'],dust gold mine dirt saloon call juarez® gunslinger real homage wild west tale live epic violent journey ruthless bounty hunter trail west ’ notorious outlaw
ISLANDERS,ISLANDERS is a minimalist strategy game about building cities on colorful islands.,"['Casual', 'Indie', 'Strategy']",islander minimalist strategy game building city colorful island
Wildermyth,"Wildermyth follows heroes over their whole careers, from their pitchfork days to their powerful primes, and on into old age and memory. It’s a party-based procedural storytelling RPG where tactical combat and story decisions will alter your world and reshape your cast of characters.","['Indie', 'RPG', 'Strategy']",wildermyth follows hero whole career pitchfork day powerful prime old age memory ’ party-based procedural storytelling rpg tactical combat story decision alter world reshape cast character
Dust: An Elysian Tail,"Immerse yourself in a gorgeous hand-painted world on a search for your true identity. As the mysterious warrior, Dust, your action-packed journey will take you from peaceful glades to snowy mountaintops and beyond.","['Action', 'Adventure', 'Indie', 'RPG']",immerse gorgeous hand-painted world search true identity mysterious warrior dust action-packed journey take peaceful glade snowy mountaintops beyond
Untitled Goose Game,It's a lovely morning in the village and you are a horrible goose.,"['Action', 'Indie']",'s lovely morning village horrible goose
Shovel Knight: Treasure Trove,"Shovel Knight: Treasure Trove is the complete Shovel Knight collection, containing all 5 games in the epic saga! Dig, blast, slash, and bash your way through a fantastical, 8-bit inspired world of pixel-perfect platforming, memorable characters, and world-class action-adventure gameplay.","['Action', 'Adventure', 'Indie']",shovel knight treasure trove complete shovel knight collection containing 5 game epic saga dig blast slash bash way fantastical 8-bit inspired world pixel-perfect platforming memorable character world-class action-adventure gameplay
STAR WARS™ Republic Commando™,"You are the leader of an elite squad of Republic Commandos, your mission is to infiltrate, dominate, and ultimately, annihilate the enemy. Your squad will follow your orders and your lead, working together as a team - instinctively, intelligently, instantly. You are their leader. They are your weapon.",['Action'],leader elite squad republic commando mission infiltrate dominate ultimately annihilate enemy squad follow order lead working together team instinctively intelligently instantly leader weapon
Antichamber,"Antichamber is a mind-bending psychological exploration game where nothing can be taken for granted. Discover an Escher-like world where hallways wrap around upon each other, spaces reconfigure themselves, and accomplishing the impossible may just be the only way forward.","['Adventure', 'Indie']",antichamber mind-bending psychological exploration game nothing taken granted discover escher-like world hallway wrap around upon space reconfigure accomplishing impossible may way forward
Trine Enchanted Edition,"Three Heroes make their way through dangers untold in a fairytale world of great castles and strange machinery, featuring physics-based puzzles, beautiful sights and online co-op.","['Action', 'Adventure', 'Indie']",three hero make way danger untold fairytale world great castle strange machinery featuring physics-based puzzle beautiful sight online co-op
Descenders,"Descenders is extreme downhill freeriding for the modern era, with procedurally generated worlds, and where mistakes have real consequences. Will you lead your team to glory and become the next legendary Descender?","['Action', 'Racing', 'Sports']",descender extreme downhill freeriding modern era procedurally generated world mistake real consequence lead team glory become next legendary descender
DREDGE,"DREDGE is a single-player fishing adventure with a sinister undercurrent. Sell your catch, upgrade your boat, and dredge the depths for long-buried secrets. Explore a mysterious archipelago and discover why some things are best left forgotten.","['Adventure', 'RPG']",dredge single-player fishing adventure sinister undercurrent sell catch upgrade boat dredge depth long-buried secret explore mysterious archipelago discover thing best left forgotten
Pony Island,"Pony Island is a suspense puzzle game in disguise. You are in limbo, trapped in a malevolent and malfunctioning arcade machine devised by the devil himself. It is not a game about ponies.",['Indie'],pony island suspense puzzle game disguise limbo trapped malevolent malfunctioning arcade machine devised devil game pony
Against the Storm,"A dark fantasy city builder where you must rebuild civilization in the face of apocalyptic rains. As the Queen’s Viceroy, lead humans, beavers, lizards, foxes, and harpies to reclaim the wilderness and secure a future for civilization's last survivors.","['Simulation', 'Strategy', 'Early Access']",dark fantasy city builder must rebuild civilization face apocalyptic rain queen ’ viceroy lead human beaver lizard fox harpy reclaim wilderness secure future civilization 's last survivor
Montaro,Montaro is a DOGE.,"['Casual', 'Indie']",montaro doge
"Warhammer® 40,000: Dawn of War® - Soulstorm","The third and final expansion to the genre-defining and critically-acclaimed RTS, Dawn of War. In Soulstorm, two new armies are introduced – Sisters of Battle and Dark Eldar - raising the total number of playable armies to nine.",['Strategy'],third final expansion genre-defining critically-acclaimed rts dawn war soulstorm two new army introduced – sister battle dark eldar raising total number playable army nine
Machinarium,"Machinarium is the award-winning independent adventure game developed by the makers of Samorost series, Botanicula and CHUCHEL. Help Josef the robot save his girlfriend Berta kidnapped by the Black Cap Brotherhood gang!","['Adventure', 'Indie']",machinarium award-winning independent adventure game developed maker samorost series botanicula chuchel help josef robot save girlfriend berta kidnapped black cap brotherhood gang
OpenTTD,"OpenTTD is a business simulation game in which players earn money by transporting passengers and cargo via road, rail, water, and air. It is an open-source remake and expansion of the 1995 Chris Sawyer video game Transport Tycoon Deluxe.","['Casual', 'Free to Play', 'Indie', 'Simulation']",openttd business simulation game player earn money transporting passenger cargo via road rail water air open-source remake expansion 1995 chris sawyer video game transport tycoon deluxe
Dagon: by H. P. Lovecraft,Face unspeakable horrors. Succumb to madness. Welcome to a free daemonic narrative experience inspired by H. P. Lovecraft.,"['Adventure', 'Free to Play', 'Indie']",face unspeakable horror succumb madness welcome free daemonic narrative experience inspired h. p. lovecraft
Yakuza Kiwami 2,"Kazuma Kiryu, the Dragon of Dojima, must face the ambitious Ryuji Goda, the Dragon of Kansai, in an all-out war between two rival yakuza clans. An extreme recreation of one of Yakuza’s most beloved entries, now in stunning 4K and unlocked framerates. There can be only one dragon.","['Action', 'Adventure', 'RPG']",kazuma kiryu dragon dojima must face ambitious ryuji goda dragon kansai all-out war two rival yakuza clan extreme recreation one yakuza ’ beloved entry stunning 4k unlocked framerates one dragon
PlateUp!,"Cook and serve your dishes, design and decorate your restaurants, and expand your culinary kingdom with new unlocks, abilities and dishes in procedurally-generated locations. Classic cooking action with permanent roguelite progression. Hire your friends - or do it all yourself!","['Action', 'Casual', 'Indie', 'Strategy']",cook serve dish design decorate restaurant expand culinary kingdom new unlocks ability dish procedurally-generated location classic cooking action permanent roguelite progression hire friend
AudioSurf,"Ride your music. Audiosurf is a music-adapting puzzle racer where you use your own music to create your own experience. The shape, the speed, and the mood of each ride is determined by the song you choose.",['Indie'],ride music audiosurf music-adapting puzzle racer use music create experience shape speed mood ride determined song choose
Chronicon,Use the magical device known as the Chronicon to travel into the souls and memories of fallen heroes to re-live their grand tales! Epic adventures full of loot and monsters await!,"['Action', 'Adventure', 'Indie', 'RPG']",use magical device known chronicon travel soul memory fallen hero re-live grand tale epic adventure full loot monster await
SpaceEngine,"The world's first science-based photorealistic interactive 3D planetarium that models the entire Universe, using procedural generation for uncharted areas.","['Casual', 'Indie', 'Simulation', 'Early Access']",world 's first science-based photorealistic interactive 3d planetarium model entire universe using procedural generation uncharted area
Door Kickers: Action Squad,"Rescue hostages, disarm bombs and save the day in this old school, side-scroller action game with retro graphics and retro sensibilities. Online and Couch Coop Included.","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",rescue hostage disarm bomb save day old school side-scroller action game retro graphic retro sensibility online couch coop included
Symphony of War: The Nephilim Saga,"Enter Tahnra, a land savaged by war. You, a fresh academy graduate with humble beginnings, will grow to lead a grand army against a corrupt adversary. Gather heroes, form bonds, and lead your force in turn-based battles. Make use of tactics, terrain, morale and more to bring peace to the land!","['Adventure', 'Indie', 'RPG', 'Strategy']",enter tahnra land savaged war fresh academy graduate humble beginning grow lead grand army corrupt adversary gather hero form bond lead force turn-based battle make use tactic terrain morale bring peace land
Bendy and the Dark Revival,"Bendy and the Dark Revival® is a first-person survival horror game set in the creepiest cartoon studio to ever exist. Discover the truth. Escape the studio. Above all, fear the Ink Demon…and survive.","['Action', 'Adventure']",bendy dark revival® first-person survival horror game set creepiest cartoon studio ever exist discover truth escape studio fear ink demon…and survive
Coffee Talk,"Coffee Talk is a coffee brewing and heart-to-heart talking simulator about listening to fantasy-inspired modern peoples’ problems, and helping them by serving up a warm drink or two.","['Adventure', 'Casual', 'Indie']",coffee talk coffee brewing heart-to-heart talking simulator listening fantasy-inspired modern people ’ problem helping serving warm drink two
Lucy -The Eternity She Wished For-,"If there was a robot that could laugh, cry and smile. ...Does it have a soul?","['Adventure', 'Casual', 'Indie', 'Simulation']",robot could laugh cry smile ... soul
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,"""Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad?"" is a fast paced shower-simulation where you shower with your 8-bit dad.It's good, clean fun!","['Action', 'Indie', 'Simulation']",`` shower dad simulator 2015 still shower dad '' fast paced shower-simulation shower 8-bit dad.it 's good clean fun
LYNE,Deceptively simple. Infinitely complex. LYNE is a minimalist puzzle game that will knot your brain as it calms your soul. Connect the shapes. Fill the board. Lose yourself in the interflowing paths of LYNE.,"['Casual', 'Indie']",deceptively simple infinitely complex lyne minimalist puzzle game knot brain calm soul connect shape fill board lose interflowing path lyne
Stronghold HD,"The original castle sim, Stronghold HD allows you to design, build and destroy historical castles. Engage in medieval warfare against the AI in one of two single player campaigns or online with up to 8 players.","['Simulation', 'Strategy']",original castle sim stronghold hd allows design build destroy historical castle engage medieval warfare ai one two single player campaign online 8 player
Little Inferno,"Throw your toys into your fire, and play with them as they burn. An adventure that takes place almost entirely in front of a fireplace - about looking up up up out of the chimney, and the cold world just on the other side of the wall. From the creators of World of Goo and Human Resource Machine.","['Adventure', 'Casual', 'Indie']",throw toy fire play burn adventure take place almost entirely front fireplace looking chimney cold world side wall creator world goo human resource machine
Reventure,"The one and only non-linear adventure with 100 different endings. Don't just wishlist me. I'm not that expensive... also, look at those reviews!","['Adventure', 'Indie']",one non-linear adventure 100 different ending n't wishlist 'm expensive ... also look review
Strange Horticulture,"Strange Horticulture is an occult puzzle game in which you play as the proprietor of a local plant store. Find and identify new plants, pet your cat, speak to a coven, or join a cult. Use your collection of powerful plants to influence the story and unravel Undermere’s dark mysteries.","['Adventure', 'Indie', 'Simulation']",strange horticulture occult puzzle game play proprietor local plant store find identify new plant pet cat speak coven join cult use collection powerful plant influence story unravel undermere ’ dark mystery
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,"It's a fight for the future of the planet between the Ravagers, a merciless swarm of alien invaders, and the Earth Defense Force (EDF) in this third-person shooter.Play as four different classes in over 80 missions with a range of 800 weapons at your disposal.Co-op play supported.",['Action'],'s fight future planet ravagers merciless swarm alien invader earth defense force edf third-person shooter.play four different class 80 mission range 800 weapon disposal.co-op play supported
Cosmoteer: Starship Architect & Commander,"Design and simulate the starship of your dreams! Command it in epic battles and manage your crew while exploring a dangerous galaxy. Play alone or with friends, test your ship in online PvP, and let your imagination reach for the stars!","['Simulation', 'Strategy', 'Early Access']",design simulate starship dream command epic battle manage crew exploring dangerous galaxy play alone friend test ship online pvp let imagination reach star
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","Prepare yourself for the grim, dark future of the 41st millennium, where alien races battle mankind for galactic domination in a universe of unending war. Personalize your armies with a revolutionary unit customization tool that gives you the ability to choose your armies insignias, banners, squad colors and names.",['Strategy'],prepare grim dark future 41st millennium alien race battle mankind galactic domination universe unending war personalize army revolutionary unit customization tool give ability choose army insignia banner squad color name
Your Only Move Is HUSTLE,"Master your technique, execute flashy combos, and outsmart opponents across the world, frame-by-frame. Slow down the clock to fine-tune your fighting style in this innovative, turn-based combat simulator. Pulverize your friends and choreograph spectacular fight scenes. No training mode required.","['Action', 'Indie', 'Simulation', 'Strategy']",master technique execute flashy combo outsmart opponent across world frame-by-frame slow clock fine-tune fighting style innovative turn-based combat simulator pulverize friend choreograph spectacular fight scene training mode required
Poly Bridge 2,"The acclaimed bridge-building indie-hit is back! More levels, more features, more physics fun!","['Indie', 'Simulation']",acclaimed bridge-building indie-hit back level feature physic fun
The Walking Dead: The Telltale Definitive Series,"The Walking Dead: The Telltale Definitive Series contains all 4 Seasons, 400 Days, and The Walking Dead: Michonne, which includes over 50 hours of gameplay across 23 unique episodes.",['Adventure'],walking dead telltale definitive series contains 4 season 400 day walking dead michonne includes 50 hour gameplay across 23 unique episode
DOOM II,"Hell has invaded Earth, and to save it, you must battle mightier demons with even more powerful weapons. This beloved sequel to the groundbreaking DOOM (1993) introduced players to the brutal Super Shotgun, the infamous Icon of Sin boss, and more intense FPS action.",['Action'],hell invaded earth save must battle mightier demon even powerful weapon beloved sequel groundbreaking doom 1993 introduced player brutal super shotgun infamous icon sin bos intense fps action
Zup! 2,Minimal physical puzzle with explosions,"['Casual', 'Indie']",minimal physical puzzle explosion
Kingdom Rush Vengeance - Tower Defense,"It's payback time! Lead your mighty dark army and make the Kingdom tremble with every step. Build powerful towers, choose your arsenal for destruction, and find the deadliest combination - train legendary heroes and lead them to victory!",['Strategy'],'s payback time lead mighty dark army make kingdom tremble every step build powerful tower choose arsenal destruction find deadliest combination train legendary hero lead victory
Necesse,"Necesse is a top-down sandbox action-adventure game in a procedurally generated world. Progress your character's gear and settlement through fighting, mining, exploring, crafting, trading and more!","['Action', 'Adventure', 'Indie', 'Early Access']",necesse top-down sandbox action-adventure game procedurally generated world progress character 's gear settlement fighting mining exploring crafting trading
Bean Battles,"A unique take on the popular genre of battle royales. Multiple fast pace rounds that rewards kills just as much as being the last alive. Team up, take revenge, and be the last bean standing.","['Action', 'Indie']",unique take popular genre battle royales multiple fast pace round reward kill much last alive team take revenge last bean standing
Turnip Boy Commits Tax Evasion,"Play as an adorable yet trouble-making turnip. Avoid paying taxes, solve plantastic puzzles, harvest crops and battle massive beasts all in a journey to tear down a corrupt vegetable government!","['Action', 'Adventure', 'Casual', 'Indie']",play adorable yet trouble-making turnip avoid paying tax solve plantastic puzzle harvest crop battle massive beast journey tear corrupt vegetable government
The Lab,"Welcome to The Lab, a compilation of Valve’s room-scale VR experiments set in a pocket universe within Aperture Science. Fix a robot, defend a castle, adopt a mechanical dog, and more. Still not sold? It’s free!",['Free to Play'],welcome lab compilation valve ’ room-scale vr experiment set pocket universe within aperture science fix robot defend castle adopt mechanical dog still sold ’ free
Long Live The Queen,"Rule the world or die trying!Being a Princess is not an easy job. Being a Queen is even harder. Especially when you're only fourteen years old, and the reason you've inherited the throne is that your royal mother has just met an untimely end.Now power is up for grabs.","['Indie', 'RPG', 'Simulation', 'Strategy']",rule world die trying princess easy job queen even harder especially 're fourteen year old reason 've inherited throne royal mother met untimely end.now power grab
Caves of Qud,"Caves of Qud is a science fantasy roguelike epic steeped in retrofuturism, deep simulation, and swathes of sentient plants. Come inhabit an exotic world and chisel through layers of thousand-year-old civilizations.","['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",cave qud science fantasy roguelike epic steeped retrofuturism deep simulation swathe sentient plant come inhabit exotic world chisel layer thousand-year-old civilization
System Shock 2,"""Remember, it is my will that guided you here. It is my will that gave you your cybernetic implants, the only beauty in that meat you call a body. If you value that meat... you will do as I tell you."" The cult classic sci-fi horror FPS-RPG has returned.","['Action', 'RPG']",`` remember guided gave cybernetic implant beauty meat call body value meat ... tell '' cult classic sci-fi horror fps-rpg returned
Cat Quest,"The multi award-winning Action RPG. Some say 'Diablo with Cats' others a 'Super-cute Skyrim', whatever your take, Cat Quest's loot-fuelled cat-venture is as beautifully crafted, as its combat and magic are ultra-satisfying. Universally adored by critics - it'll have you purring for joy!","['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",multi award-winning action rpg say 'diablo cat others 'super-cute skyrim whatever take cat quest 's loot-fuelled cat-venture beautifully crafted combat magic ultra-satisfying universally adored critic 'll purring joy
AMID EVIL,A retro FPS for the ages! Once branded a HERETIC. Now YOU have been chosen as our champion! Reclaim our sacred weapons. Take back our ancient lands. If you can stand... AMID EVIL.,"['Action', 'Adventure', 'Indie']",retro fps age branded heretic chosen champion reclaim sacred weapon take back ancient land stand ... amid evil
Kingdom Rush Origins - Tower Defense,"Command your elven army and defend mystical lands from sea serpents, evil sorcerers, and wave after wave of gnoll tribesman, all with the help of brand-spankin’ new towers, heroes, and spells to fend off every last baddie.","['Indie', 'Strategy']",command elven army defend mystical land sea serpent evil sorcerer wave wave gnoll tribesman help brand-spankin ’ new tower hero spell fend every last baddie
Tetris® Effect: Connected,"Tetris® Effect: Connected adds an all-new robust multiplayer expansion to the huge variety of addictive and innovative single-player modes that Tetris Effect is known for, with all-new co-op and competitive online and local multiplayer modes!","['Casual', 'Indie']",tetris® effect connected add all-new robust multiplayer expansion huge variety addictive innovative single-player mode tetri effect known all-new co-op competitive online local multiplayer mode
Yuppie Psycho: Executive Edition,"Join Brian Pasternack on his first working day at Sintracorp. Uncertain, unprepared, and massively unqualified, will Pasternack have what it takes to shine in Sintracorp’s hierarchy? It all depends on how he performs on his first assignment… and whether he survives it.","['Adventure', 'Indie']",join brian pasternack first working day sintracorp uncertain unprepared massively unqualified pasternack take shine sintracorp ’ hierarchy depends performs first assignment… whether survives
Bitburner,"Bitburner is a programming-based incremental game. Write scripts in JavaScript to automate gameplay, learn skills, play minigames, solve puzzles, and more in this cyberpunk text-based incremental RPG.",['Free to Play'],bitburner programming-based incremental game write script javascript automate gameplay learn skill play minigames solve puzzle cyberpunk text-based incremental rpg
Beat Hazard,Experience your music collection like never before with this intense music driven arcade shooter. Each of your songs will have its own unique ebb and flow based on the music.,"['Action', 'Casual', 'Indie']",experience music collection like never intense music driven arcade shooter song unique ebb flow based music
Crawl,Crawl is the local multiplayer dungeon crawler where your friends control the monsters! Battle through dungeons and power up your hero - if a friend kills you they take your place and it’s their turn to crawl. It's a race to gain enough XP and loot to take on the hulking final boss!,"['Action', 'Indie', 'RPG']",crawl local multiplayer dungeon crawler friend control monster battle dungeon power hero friend kill take place ’ turn crawl 's race gain enough xp loot take hulking final bos
DR LIVESEY ROM AND DEATH EDITION,"DR LIVESEY: AHAHAHAHAHAHAHAHAHAHHA, gentlemen, from now on, rom and death means the same thing for you.","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",dr livesey ahahahahahahahahahahha gentleman rom death mean thing
Blood™ Fresh Supply,"Battle an army of sycophantic cultists, zombies, gargoyles, hellhounds, and an insatiable host of horrors in your quest to defeat the evil Tchernobog. Squirm through 42 loathesome levels filled with more atmosphere than a Lovecraftian mausoleum.",['Action'],battle army sycophantic cultist zombie gargoyle hellhound insatiable host horror quest defeat evil tchernobog squirm 42 loathesome level filled atmosphere lovecraftian mausoleum
Tales of Maj'Eyal,"Tales of Maj’Eyal is a roguelike RPG, featuring tactical turn-based combat and advanced character building. Play as one of many unique races and classes in the lore-filled world of Eyal, exploring random dungeons, facing challenging battles, and developing characters with your own tailored mix of abilities and powers.","['Adventure', 'Indie', 'RPG']",tale maj ’ eyal roguelike rpg featuring tactical turn-based combat advanced character building play one many unique race class lore-filled world eyal exploring random dungeon facing challenging battle developing character tailored mix ability power
Airships: Conquer the Skies,"Construct mighty steampunk airships and fly them into battle, waging war and conquering the skies!","['Action', 'Indie', 'Strategy']",construct mighty steampunk airship fly battle waging war conquering sky
What Never Was,"What Never Was is a short, story-driven first-person game focused on exploration and puzzle-solving about Sarah, having to shoulder the arduous task of clearing out her grandfathers attic, and soon finds that not everything about the attic is what it seems.","['Adventure', 'Casual', 'Free to Play', 'Indie']",never short story-driven first-person game focused exploration puzzle-solving sarah shoulder arduous task clearing grandfather attic soon find everything attic seems
The Secret of Monkey Island: Special Edition,"Back by popular demand, The Secret of Monkey Island™: Special Edition faithfully re-imagines the internationally-acclaimed classic game (originally released in 1990) for original and new audiences alike.",['Adventure'],back popular demand secret monkey island™ special edition faithfully re-imagines internationally-acclaimed classic game originally released 1990 original new audience alike
Rusty Lake Hotel,Are you ready to serve the guests in the Rusty Lake Hotel? Solve all mysteries in this dark and eerie puzzle game. Rusty Lake Hotel is a point-and-click adventure by the creators of the Rusty Lake & Cube Escape series.,"['Adventure', 'Indie']",ready serve guest rusty lake hotel solve mystery dark eerie puzzle game rusty lake hotel point-and-click adventure creator rusty lake cube escape series
The Riftbreaker: Prologue,The Riftbreaker: Prologue allows you to experience the events taking place before the story campaign of the main game. Explore an entirely new world. Gather resources. Build up a base. Defend yourself from thousands of alien creatures.,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",riftbreaker prologue allows experience event taking place story campaign main game explore entirely new world gather resource build base defend thousand alien creature
Narcissu 1st & 2nd,"This is a story of disease and suffering; of medication and adverse effects; of thoracotomy scars and cellular poisons; of the living who cannot help but to die and of the dying who cannot help but to live; of a resting place other than ""on 7F"" or ""at home"".",['Indie'],story disease suffering medication adverse effect thoracotomy scar cellular poison living help die dying help live resting place `` 7f '' `` home ''
BirdGut,"BirdGut is a hand-drawn 2d puzzle-platformer from the perspective of an outcast bee who gets eaten by a bird, and discovers that the bird's internal organs are not organs at all, but facilities in which the consumed insects are brainwashed and enslaved. Experience this bizarre one-man project for yourself.","['Adventure', 'Casual', 'Free to Play', 'Indie']",birdgut hand-drawn 2d puzzle-platformer perspective outcast bee get eaten bird discovers bird 's internal organ organ facility consumed insect brainwashed enslaved experience bizarre one-man project
Wuppo: Definitive Edition,"Play as an exiled 'wum' looking for a new home in this bizarre but charming world, filled with strange creatures, puzzles, monsters and political chaos.","['Action', 'Adventure', 'Indie', 'RPG']",play exiled 'wum looking new home bizarre charming world filled strange creature puzzle monster political chaos
Higurashi When They Cry Hou - Ch.1 Onikakushi,"Higurashi When They Cry is a sound novel. The music, backgrounds and characters work together to create a world that is the stage of a novel for the user to read. They laugh and cry and get angry. The user takes the point of view of the protagonist to experience the story.",['Adventure'],higurashi cry sound novel music background character work together create world stage novel user read laugh cry get angry user take point view protagonist experience story
Mosaique Neko Waifus 4,Hentai puzzle with elements of RPG and meaningful dialogue choices. Flirt with all the Neko girls!,"['Casual', 'RPG']",hentai puzzle element rpg meaningful dialogue choice flirt neko girl
Judgment,"Fight for the truth and uncover the twisted crime running deep beneath the surface of Tokyo. In this legal thriller , the balance between justice and mercy teeters on the edge.","['Action', 'Adventure']",fight truth uncover twisted crime running deep beneath surface tokyo legal thriller balance justice mercy teeter edge
SNKRX,"SNKRX is an arcade shooter roguelite where you control a snake of heroes that automatically attack nearby enemies. Combine different heroes to unlock class bonuses and create unique builds, and steer your unstoppable party as they ravage through endless waves of enemies.","['Action', 'Casual', 'Indie']",snkrx arcade shooter roguelite control snake hero automatically attack nearby enemy combine different hero unlock class bonus create unique build steer unstoppable party ravage endless wave enemy
泡沫冬景,"It is the year 1988. Japan is in the midst of the bubble economy. New buildings are sprouting up everywhere, and the people are ecstatic. This is a story of people who live for one year... in such a little corner of the city.","['Adventure', 'Casual', 'Indie']",year 1988. japan midst bubble economy new building sprouting everywhere people ecstatic story people live one year ... little corner city
Floating Point,"Floating Point is a peaceful, free game about using a grappling hook to swing yourself gracefully through randomly generated spaces. The only objective is to collect points, and the only thing that increases your points is swinging swiftly, smoothly and elegantly without hitting anything.","['Casual', 'Free to Play', 'Indie']",floating point peaceful free game using grappling hook swing gracefully randomly generated space objective collect point thing increase point swinging swiftly smoothly elegantly without hitting anything
Botanicula,Humor-filled indie adventure game created by the makers of Machinarium and Samorost.,"['Adventure', 'Casual', 'Indie']",humor-filled indie adventure game created maker machinarium samorost
Brigador: Up-Armored Edition,"Pilot a mech to hunt down and destroy the oppressive government of a cyberpunk autocracy. In this fast-paced, top-down-shooter, use overwhelming firepower to destroy columns of tanks and level buildings. Unlock up to 56 unique vehicles and 40 weapons.","['Action', 'Indie']",pilot mech hunt destroy oppressive government cyberpunk autocracy fast-paced top-down-shooter use overwhelming firepower destroy column tank level building unlock 56 unique vehicle 40 weapon
Agent A: A puzzle in disguise,A suave secret agent adventure game. Your mission (should you choose to accept) is to infiltrate enemy spy Ruby La Rouge’s secret hideaway and put a stop to her evil plans!,"['Adventure', 'Indie']",suave secret agent adventure game mission choose accept infiltrate enemy spy ruby la rouge ’ secret hideaway put stop evil plan
Rusty Lake Paradise,"Rusty Lake Paradise is set on a small remote island which is cursed by the ten plagues of Egypt. Solve all the mysteries of this dark, macabre puzzle adventure. Paradise builds upon the distinctive atmosphere and excitement from the Rusty Lake series.","['Adventure', 'Indie']",rusty lake paradise set small remote island cursed ten plague egypt solve mystery dark macabre puzzle adventure paradise build upon distinctive atmosphere excitement rusty lake series
Behind the Frame: The Finest Scenery,"Guide brush strokes and solve a variety of puzzles to help an aspiring artist complete her masterpiece amid her brusque neighbor’s gaze and his pesky cat. As her painting starts to take shape, uncover an emotional tale of chance and artistry revealed behind unrelated yet familiar moments.","['Adventure', 'Casual', 'Indie']",guide brush stroke solve variety puzzle help aspiring artist complete masterpiece amid brusque neighbor ’ gaze pesky cat painting start take shape uncover emotional tale chance artistry revealed behind unrelated yet familiar moment
Google Earth VR,"Google Earth VR lets you explore the world from totally new perspectives in virtual reality. Stroll the streets of Tokyo, soar over the Grand Canyon, or walk around the Eiffel Tower.","['Adventure', 'Casual', 'Free to Play', 'Simulation']",google earth vr let explore world totally new perspective virtual reality stroll street tokyo soar grand canyon walk around eiffel tower
"Cook, Serve, Delicious!","One of the few hardcore restaurant sims in existence, Cook, Serve, Delicious! is a deceptively easy game to learn but incredibly challenging to master as you progress through your career from owning a terrible zero star cafe into a five star world famous restaurant.","['Action', 'Indie', 'Simulation', 'Strategy']",one hardcore restaurant sims existence cook serve delicious deceptively easy game learn incredibly challenging master progress career owning terrible zero star cafe five star world famous restaurant
Horizon Chase Turbo,"Thrilling arcade racing game, inspired by the super-fun-straight-to-the-point classic racing games from the 90s.","['Action', 'Casual', 'Indie', 'Racing', 'Sports']",thrilling arcade racing game inspired super-fun-straight-to-the-point classic racing game 90
