Title,Description,Genre
Pikuniku,"Pikuniku is an absurdly wonderful puzzle-exploration game that takes place in a strange but playful world where not everything is as happy as it seems. Help peculiar characters overcome struggles, uncover a deep state conspiracy, and start a fun little revolution in this delightful dystopian adventure!","['Action', 'Adventure', 'Casual', 'Indie']"
Bit Blaster XL,"A throwback to the classic quarter eating arcade games of the 80's. Bit Blaster XL is a retro styled, addictive, and fast paced arcade shoot 'em up! (shmup).","['Action', 'Casual', 'Indie']"
The Rewinder,"The Rewinder is an adventure puzzle game based on Chinese mythology. You play as Yun, the last known Rewinder, who can communicate with spirits and explore other people's memories to alter the past.","['Adventure', 'Casual', 'Indie']"
Mark of the Ninja: Remastered,"In Mark of the Ninja, you'll know what it is to truly be a ninja. You must be silent, agile and clever to outwit your opponents in a world of gorgeous scenery and flowing animation.","['Action', 'Indie']"
POSTAL: Brain Damaged,"POSTAL: Brain Damaged is a new, action-oriented take on the Running With Scissors’ cult game series with throwback graphics, and fast-paced, modern gameplay. Take a wild roller coaster ride through the twisted wonderland encased in the POSTAL DUDE’S messed-up mind.",['Action']
STEINS;GATE 0,If you can't save the one you love… How can you save humanity? Sequel to the visual novel cult classic. Experience an alternate worldline of STEINS;GATE.,['Adventure']
Hexcells,"Hexcells is an ambient logic puzzle game for PC, Mac and Linux.","['Casual', 'Indie', 'Strategy']"
Manifold Garden,"Rediscover gravity and explore an Escher-esque world of impossible architecture. Witness infinity in first-person and master its rules to solve physics-defying puzzles. Cultivate a garden to open new paths forward, where an eternal expanse awaits.","['Adventure', 'Indie']"
Meteor 60 Seconds!,"Meteor 60 seconds! is a simple, fun, comic-like action game that simulates your life if there were a meteor heading towards Earth and you had 60 seconds to live. Do anything you want to do with your last 60 seconds, even if it's illegal! What about planting an apple tree?","['Action', 'Casual', 'Free to Play', 'Indie', 'Simulation']"
PAC-MAN™ Championship Edition DX+,It's time to gear up!Get ready for more ghost chain gobbling and frantic action in PAC-MAN® CE-DX+! The award-winning chomping game makes a shattering debut on Steam with even more content and a refined user-interface to compare high scores with your friends!,['Action']
The Coin Game,"A collection of ticket redemption arcades with realistic physics, a carnival, goofy robots, open world design, a global ranking system and silly prizes. Featuring 40+ modern inspired arcade machines and a pawn shop to keep money in your pocket. The Coin Game is made by a solo developer.","['Adventure', 'Casual', 'Indie', 'Simulation', 'Early Access']"
OCTOPATH TRAVELER II,"This game is a brand-new entry in the OCTOPATH TRAVELER series, the first installment of which was initially released in 2018 and sold over 3 million copies worldwide.",['RPG']
The Jackbox Party Pack 3,"The threequel to the party game phenomenon features the deadly quiz show Trivia Murder Party, the say-anything sequel Quiplash 2, the surprising survey game Guesspionage, the t-shirt slugfest Tee K.O., and the sneaky trickster game Fakin’ It.","['Casual', 'Indie', 'Strategy']"
Lay a Beauty to Rest: The Darkness Peach Blossom Spring,"Love-suspense AVG with the theme of ""The Peach Blossom Spring"". The equinox flowers, bloom for one thousand years and wither for one thousand years. Eternal paradise. Do you choose to stay here, escape here, or bury everything here?","['Adventure', 'Casual', 'Indie', 'RPG']"
Insaniquarium Deluxe,"The craziest aquarium game ever! Tend to your fish, keep them happy and they'll reward you with coins and jewels. Buy tank upgrades or egg parts which hatch different in-tank pets. These pets can help you feed your fish, collect coins, or even protect against the aliens that will invade your tank.",['Casual']
Fireworks Mania - An Explosive Simulator,"FIREWORKS MANIA is a small casual explosive simulator game where you play around with fireworks, create beautiful firework shows or just blow stuff up.","['Action', 'Casual', 'Indie', 'Simulation']"
Soulstone Survivors: Prologue,"Face the Lords of the Void and their endless minions, collect their Soulstones and become a god! In this Action Roguelite, unveil secret spells, craft mighty weapons, unlock multiple characters, discover game-breaking synergies and conquer the power of the void.","['Action', 'Indie', 'RPG']"
DEADBOLT,DEADBOLT is an extremely challenging stealth-action hybrid that allows you to take control of the reaper to quell the recent undead uprising.,"['Action', 'Indie']"
Defense Grid: The Awakening,"Defense Grid: The Awakening is a unique spin on tower defense gameplay that will appeal to players of all skill levels. A horde of enemies is invading, and it's up to the player to stop them by strategically building fortification towers around their base.","['Indie', 'Strategy']"
Bejeweled® 3,"The biggest, brightest Bejeweled ever! Discover all-new ways to play the world’s #1 puzzle game. Find your perfect match with 8 breathtaking game modes that meet all your moods.","['Casual', 'Strategy']"
Cinderella Phenomenon - Otome/Visual Novel,The Fairytale Curse was only the beginning...,"['Free to Play', 'Indie', 'Simulation']"
Raging Loop,"The feast has begun, can you escape the village alive?","['Adventure', 'Indie']"
Zup! 8,Minimal physical puzzle with explosions,"['Casual', 'Indie']"
Creeper World 3: Arc Eternal,"Creeper World 3 is what happens when cellular automata takes over a strategy simulation. Instead of discrete units that attack your base, a fluid-like substance spreads over the terraformable terrain. Your base, your weapons, your strategy... you must adapt them all.","['Indie', 'Simulation', 'Strategy']"
LiEat,"Welcome to a world in which dragons are born from the desires of mankind. Each dragon is bestowed with unique powers in accordance with the specific desires of their human familiar. One mysterious stranger travels the land, accompanied by a young dragon graced with the power of eating lies.","['Indie', 'RPG']"
Farmer Against Potatoes Idle,"Pick up your sword and fight off waves of Potatoes by upgrading your stats constantly, use Equipment, choose between different Classes, put your many Talents to good use, and so much more designed to keep you entertained for a long time.","['Casual', 'Free to Play', 'Indie', 'RPG', 'Simulation', 'Early Access']"
Samorost 1,"Explore the beginnings of the Samorost series in the space gnome’s original bite-sized adventure, formerly released in 2003. Now with remastered sounds, enhanced graphics, and new music by Floex.","['Adventure', 'Casual', 'Indie']"
One Finger Death Punch 2,"The world's fastest brawler is back. Experience cinematic kung-fu in the most epic stickman fighter ever made. Staying true to the original, you play with only two buttons. Every press matters, do not button mash!","['Action', 'Casual', 'Indie']"
We Become What We Behold [Fan-Made Port],"a game about news cycles, vicious cycles, infinite cycles","['Casual', 'Indie']"
"STAR WARS™ Battlefront (Classic, 2004)",Fight the greatest battles in the STAR WARS universe any way you want to. The choice is yours.,['Action']
Cat Quest II,"Open-world action-RPG in a fantasy realm of cats and dogs. Sequel to the award-winning original, CAT QUEST II lets you play solo or with a friend, as both a cat and dog! Quest in a world filled with magic, defeat monsters and collect loot in a catventure like never before!","['Action', 'Adventure', 'Indie', 'RPG']"
Orbt XL,"Defy Gravity! Orbt XL is an intense, addictive and fun 'just-one-more-round' score chaser. Perfect for playing while waiting in queue for another game.","['Action', 'Casual', 'Indie']"
GemCraft - Chasing Shadows,"An epic, challenging tower defense game with an emphasis on strategy and replayability. Summon gems of immense magical potency and harness their unique abilities against a seemingly endless horde of monsters. The archdemon seeks to swallow the world, and you must journey to stand against her.","['Action', 'Indie', 'Strategy']"
Freedom Planet,"Fight your way across the celestial world of Avalice where cats are green, motorcycles drive up walls and monster girls do most of the buttkicking! Freedom Planet is a cartoony, combat-based platform adventure that pits a spunky dragonoid and her friends against an alien attack force.","['Action', 'Indie']"
Spaceflight Simulator,"In Spaceflight Simulator, you will get to build your rockets, plan launches and flights, attempt landings, deploy payloads and explore new worlds.","['Indie', 'Simulation', 'Early Access']"
RED HOT VENGEANCE,"He had one rule: No killing women or children. When a hitman is double-crossed by his employer, he brings forth a night of carnage and bloodshed.","['Action', 'Free to Play', 'Indie']"
Vecter,"Vecter is a fast-paced runner and shooter game where your goal is to survive by the skin of your teeth and raise hell in your path. You get in your ship, you push the throttle on max and then try to survive for as long as possible by annihilating anything that gets in your way.","['Action', 'Casual', 'Free to Play', 'Indie', 'Racing']"
FAITH: The Unholy Trinity,"What you are about to do has not been approved by the Vatican. As a young priest, struggle against demons, insane cultists, and your own weakening faith in this pixel horror game inspired by the era of classic 8-bit gaming and the ""Satanic Scare"" of the 1980s.","['Adventure', 'Indie']"
Civilization IV: Beyond the Sword,Sid Meier's Civilization IV®: Beyond the Sword is the second expansion pack for Civilization IV - the 2005 PC Game of the Year that has become a worldwide hit.,['Strategy']
Some Some Convenience Store,A game about starting a relationship while working part-time at a convenience store,"['Adventure', 'Casual', 'Indie']"
DISTRAINT 2,"You are Price, a man who sold his humanity to get a partnership from a leading company: McDade, Bruton & Moore. DISTRAINT 2 follows on from the events of the first game. It's a sinister tale about restoring hope and finding your purpose.","['Adventure', 'Casual', 'Indie']"
Total Annihilation,What began as a conflict over the transfer of consciousness from flesh to machines escalated into a war which has decimated a million worlds. The Core and the Arm have all but exhausted the resources of a galaxy in their struggle for domination.,['Strategy']
X-COM: UFO Defense,You are in control of X-COM: an organization formed by the world's governments to fight the ever-increasing alien menace.,['Strategy']
Pilgrims,"Pilgrims is a playful adventure game, created by the team behind Machinarium and Samorost. Roam the land as you please and make new friends, share a laugh with your fellow travelers and help them complete their little stories, your way. How many different solutions can you find?","['Adventure', 'Casual', 'Indie']"
Mitoza,"It's not a game, it's a toy. Explore all cycles and prepare yourself to accept the inevitable effects of Mitoza.","['Adventure', 'Indie']"
Nightmare of Decay,"A first-person action horror game set in a nightmarish manor infested with zombies, psychotic cultists, and a horde of other horrors. Utilize an assortment of different weapons in a brutal fight for survival as you try to escape from the Nightmare of Decay.","['Action', 'Adventure', 'Indie']"
Songs of Syx,"Songs of Syx is a fantasy city-builder where you start off as an insignificant colony and build, scheme, and fight your way towards a metropolis and empire. The mechanics are complex and true to life, where small events can spiral into the collapse of kingdoms. Try the unlimited demo first!","['Indie', 'Simulation', 'Strategy', 'Early Access']"
SANABI,"SANABI is an exhilarating stylish dystopian action-platformer. Play as a legendary retired veteran and use your signature prosthetic arm to jump over cliffs and skyscrapers, zip through bullets and traps and defeat powerful enemies.","['Action', 'Adventure', 'Indie', 'Early Access']"
Yoku's Island Express,"Meet Yoku, the pint-sized postman protagonist of Yoku's Island Express! Use a unique blend of pinball mechanics, platforming and open world exploration to unlock the secrets of Mokumana Island, help the locals, awaken ancient deities and much more in this amazing new tropical adventure!","['Adventure', 'Indie']"
Serious Sam Classic: The First Encounter,Serious Sam is a high-adrenaline single-play and 16-player co-operative arcade-action FPS and Gamespot's Game of the Year 2001!,"['Action', 'Indie']"
YOU and ME and HER: A Love Story,"YOU and ME and HER: A Love Story is the visual novel medium in its purest form. Will Shinichi choose Miyuki, the beautiful queen bee of the school, or the endearingly awkward misfit Aoi? With art by Tsuji Santa, these beautifully rendered romances will stay with you forever.",['Adventure']
Baldi's Basics Plus,"Baldi's Basics Plus is like the original game, but PLUS! The same cruddy edutainment horror type parody theme is back, but with hugely expanded gameplay features, including procedurally generated levels, field trip minigames, crazy random events, PLUS more characters, more items, and more chaos!","['Action', 'Indie', 'Strategy', 'Early Access']"
The Witch's House MV,"A young girl, Viola, is drawn inexorably to a mysterious manor that seems to change behind her back. It is a place of pain, turmoil and death. Plumb its detestable depths and abominable history. Untangle riddles that bar your perilous path. And flee the hellish halls of The Witch’s House.","['Adventure', 'Casual', 'Indie', 'RPG']"
Trick & Treat,"Trick or treating in a vampire's house.Trick & Treat is a light-hearted Halloween adventure. It's about exploring and solving puzzles in a spooky atmosphere. There will be some horror elements, romance, many bad ends and a happy ending of true love.","['Adventure', 'Casual', 'Free to Play', 'Indie']"
The Good Time Garden,"Explore a throbbing pink world full of strange naked creatures to gather food for your friend in this short, surreal experience.","['Free to Play', 'Indie']"
Amanda the Adventurer,"Join Amanda and her pal Wooly on a series of adventures as they explore and learn about our wonderful world! With several NEW play-along, laugh-along, learn-along episodes there's always fun to be had! Just make sure to do everything Amanda says or she might get angry.",['Indie']
Doom & Destiny,"Be ready for the nerdiest adventure of your life! Journey with four everyday friends into this turn based hilarious jrpg filled with parodies and cameos! Explore a huge fantasy world full of secrets, monsters, dungeons and preposterous villains! Nerds are storming fantasy and it's awesome!","['Indie', 'RPG']"
Shadows Over Loathing,"Shadows over Loathing — a slapstick-figure comedy adventure-RPG full of mobsters, monsters, and mysteries.","['Adventure', 'Indie', 'RPG']"
Duck Simulator 2,A genre-defying phenomenon that will take you on a journey to stop a rubber duck from taking over the developer's game!,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']"
The Life and Suffering of Sir Brante — Chapter 1&2,"A narrative-driven hardcore RPG set in a gritty world where the gods are real. Set out on a challenging lifetime journey, where every choice you make has a price to pay and consequence to it. Will you become an inquisitor, a judge, or conspire against the old order? Dare to decide!","['Adventure', 'Free to Play', 'Indie', 'RPG', 'Simulation', 'Strategy']"
Heavenly Bodies,"Wrangle the hands and arms of a 1970s space cosmonaut and push, pull and twist your way through an increasingly precarious range of physically simulated stellar scenarios, where without gravity, nothing is still, nothing is secure, and nothing is simple.","['Action', 'Adventure', 'Indie', 'Simulation']"
Cattails | Become a Cat!,"Become a cat! Cattails is a unique animal simulation RPG. Hunt for food, fight invading cats, explore to gather herbs, and socialize with other cats in an expansive open world. Get married and raise a family of kittens, befriend your neighbors, and learn to live in the dangerous wilderness!","['Casual', 'Indie', 'RPG', 'Simulation']"
Geometry Arena,"A free-form arena-shooter Roguelite with heavy emphasis on building an overpowered character! You play as a little shape that shoots other shapes! Strengthen your character by mixing and matching mods and upgrades, and experiment with a limitless rune upgrade system!","['Action', 'Casual', 'Indie']"
Lunacid,Lunacid is a first person dungeon crawler inspired by old FROMSOFT games like Shadow Tower and King’s Field.,"['Indie', 'RPG', 'Early Access']"
Roadwarden,"Roadwarden is an illustrated text-based RPG that uses isometric pixel art and combines mechanics borrowed from RPGs, Visual Novels, adventure games and interactive fiction.","['Adventure', 'Indie', 'RPG']"
Choice of Robots,"Your robots will change the world! Will you show them the true meaning of love, or conquer Alaska with your robot army? A 300,000-word epic interactive sci-fi novel.","['Indie', 'RPG']"
Epic Battle Fantasy 3,"Epic Battle Fantasy 3 is a silly turn-based JRPG, full of useless NPCs, rabid cats, childish humor, unreasonably large weapons, anime boobs, and other nonsense. And it's totally free!","['Adventure', 'Free to Play', 'Indie', 'RPG']"
The Coma 2: Vicious Sisters,The Coma 2: Vicious Sisters is a Korean survival horror-adventure. Venture from your deserted school to survive the horrors of the night. Explore the surrounding Sehwa district and uncover the shadow realm's dark secrets. Use everything at your disposal to avoid a demoness hellbent on killing you!,"['Action', 'Adventure', 'Indie']"
Mini Healer,"Mini Healer is a single player healing simulator/raid manager RPG with ARPG inspired deep character customization and itemization. Play as the healer in MMO inspired boss fights, acquire powerful items, and customize your party to your heart's content.","['Action', 'Casual', 'Indie', 'RPG', 'Early Access']"
DRAMAtical Murder,"Aoba's vibrant cyberpunk world is one of contrasts: high-tech virtual reality battles versus street gang turf wars, ultra-exclusive luxury resorts and tiny junk shops. The choices you make will shape the path of Aoba's journey into the dark secrets lurking beneath the glossy sheen of the city.",['Adventure']
Turbo Overkill,"Apogee (Duke, Prey, Max) brings you our latest killer anti-hero, Johnny Turbo, who's cleaning up Paradise, a cyber city seized by the galaxy's most advanced AI, Midjourney... umm, we mean Syn. Ep. 2 has new levels, weapons and augments like the Spidey-like grappling hook. Oh, and a chainsaw bike.","['Action', 'Indie', 'Early Access']"
Project Arrhythmia,"""Project Arrhythmia"" is a musical bullet-hell in which all things beautiful are deadly. Avoid the musically timed pulse of blocks and bars, and in the process you might just find out what this mysterious ""Project Arrhythmia"" is.","['Action', 'Adventure', 'Indie', 'Strategy', 'Early Access']"
a new life.,"When your loved one hurts you, what do you do? A classic love story about letting go.",['Indie']
There is No GreenDam,"Simply wanted to find a job, but turned out to cause so much trouble. Then I received a mysterious test item... a young girl?! Am I gonna start living happily ever after? or just the prelude of a disaster! My story with her has just begun... Hope this game can make you feel a little touched.","['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG']"
Shredders,"Break into the snowboarding event of the year in the hope of scoring a wildcard entry to an exclusive invitational. To prove you’re up to the challenge, master the art of park riding, buttering, rails and massive kickers and earn your place in the world of snowboarding.","['Action', 'Simulation', 'Sports']"
Wandersong,"A musical platforming adventure with an emotional story. Play as a silly bard and use music to interact with everything on a journey around the world. Along the way you'll explore, solve puzzles, and meet a huge cast of characters!","['Adventure', 'Indie']"
Magical Girl Celesphonia,"Amane has always lived for herself, choosing to focus on her studies and happiness. But what will she do when given magical powers beyond human comprehension to face a horde of terrible monsters? It's time for her to become Magical Girl Celesphonia!","['Adventure', 'Indie', 'RPG']"
"If On A Winter's Night, Four Travelers","If On A Winter's Night, Four Travelers is a narrative-driven point-and-click adventure with horror elements that explores the stories of four characters in a masked ball taking place aboard a train in the late 1920s.",['Adventure']
Songs for a Hero - Definitive Edition,A classic platform with a twist: A dynamic soundtrack and funny lyrics that sings the player's actions and responds to what is happening during the adventure.,"['Adventure', 'Casual', 'Indie']"
Labyrinth City: Pierre the Maze Detective,"Adapted from the bestselling children’s book series Pierre The Maze Detective, play as Pierre in this adventure/puzzle game and recover the stolen Maze Stone. Journey through breathtakingly hand-drawn illustrations, meet eccentric characters, and solve puzzles to save Opera City!","['Adventure', 'Casual', 'Indie']"
Misao: Definitive Edition,"In this horror-adventure game, you must search for your missing classmate in a school plagued by unnatural phenomena. This new upgraded version of ""Misao"" features improved graphics and additional content. Get your own copy of Misao: Definitive Edition now!","['Adventure', 'Casual', 'Indie']"
Timelie,"Timelie is a stealth puzzle adventure, where you control time like a media player. Perceive future events to plan your escape strategy from the past, sneak an enemy, and manipulate time through this companionship journey of a mysterious cat and a little girl with a precognitive power.","['Adventure', 'Indie', 'Strategy']"
Murder House,A local news team breaks into an abandoned house to chase a salacious ghost story... until a MANIAC chases them! ...VHS era 80's slasher. PS1 style survival horror!,"['Adventure', 'Indie']"
Jet Island,"Slide anywhere on your hoverboard at extreme speeds! Explore the massive open world of Jet Island! Learn to skate on any surface, swing from tall buildings, fly in ways you never knew were possible! Defeat the 4 giant boss fights! Get ready to experience complete freedom in VR!","['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']"
Sprout,"Embark on a casual, botanical-puzzle-adventure. Make friends, learn new skills, solve puzzles, and become the mighty oak that you were always meant to be.","['Adventure', 'Casual', 'Free to Play', 'Indie', 'Strategy']"
Mushroom Cats,Mushroom Cats is a kind and sweet game in the point-and-click genre about Mushroom Cats that live on the magical Toadstool.,"['Adventure', 'Casual', 'Free to Play', 'Indie']"
The Political Process,"Explore a dynamic world of politics in this turn-based, political simulator. Create a character, run for political office, write legislation, balance budgets, and more as you move up the political hierarchy.","['Indie', 'Simulation', 'Strategy', 'Early Access']"
Micro Platformer,"A minimalistic platformer with a 1x1 tileset. No enemies, no bullets, no lasers. Just sheer platforming.","['Free to Play', 'Indie', 'Early Access']"
The Ditzy Demons Are in Love With Me,"Ren’s virginity is in danger as he is suddenly pushed into the school’s special girl's dormitory full of useless demons. Assigned as an assistant to watch over them, his happy and troublesome days as a teacher for these cute but incompetent demons has begun.",['Adventure']
Cyber Hook,"Speed through a gorgeous retrowave world using parkour skills and a grappling hook to scale and ride walls in this fast-paced, 3D platformer. Blast enemies, manipulate time and abuse physics to avoid falling to your death.","['Action', 'Indie']"
A Summer's End - Hong Kong 1986,"A Summer's End is a visual novel set in 1980s Hong Kong. It tells of a love story between two women. Lush and vibrant visuals, the game features over 400 unique hand-drawn artwork inspired by Asian cinema and 1980s anime.","['Casual', 'Indie']"
Serious Sam Classic: The Second Encounter,Serious Sam Classic: The Second Encounter is a high-adrenaline single-play and 16-player co-operative arcade-action FPS and Gamespot's Game of the Month February 2002!,"['Action', 'Indie']"
Card Survival: Tropical Island,"Card Survival is a card-based survival experience. Stranded on a desert island you must use your wits and skills to stay alive. Use cards and combine them together to explore, gather resources and craft useful tools.","['Adventure', 'Indie', 'Simulation', 'Strategy']"
Peggle™ Nights,"Join the Peggle Masters on a dreamtime adventure of alter egos and peg-tastic action. Stay up late to aim, shoot and clear orange pegs, and bask in Extreme Fever glory under the silver moon.",['Casual']
PARQUET,"In the near future, a technology called Brain-Machine Interface connects the brain and machines. This technology brings about a new paradigm and opens the gates to the digitization of human memory itself. From these new discoveries, ""he"" is born.","['Adventure', 'Casual']"
Super House of Dead Ninjas,"Super House of Dead Ninjas is an action arcade game with roguelite elements. Race against a 30 second timer as you descend floor after foe-filled floor and attempt to unlock the secrets of this deadly tower!Play as the fearsome Crimson Ninja, wielding an arsenal of deadly ninja weapons and attacks.","['Action', 'Indie']"
Zeus + Poseidon,Zeus + Poseidon delivers hundreds of hours of gameplay in one game!,['Strategy']
Roman's Christmas / 罗曼圣诞探案集,"Roman, the wolf detective plans to spend his Christmas vacation in his favorite tavern, but murder cases happened in the tavern put him to work again.","['Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']"
Bing in Wonderland,"A Roguelite monster killing satisfaction galore without any exploration elements. The game is filled to the brim with exotic enemies and stages with a collection of deep and robust boons, weapons, and items plus an abundance of pointless features and useless details. (CONTROLLER SUPPORTED)","['Action', 'Casual', 'Indie']"
My Brother Rabbit,My Brother Rabbit is a beautifully drawn exploration adventure and puzzle game set in a surreal world that mixes reality with a child’s imagination.,"['Adventure', 'Casual', 'Indie']"
Delete,Let the number tell you what to do,"['Casual', 'Indie']"
The Jackbox Party Pack 2,"The sequel to the party game phenomenon The Jackbox Party Pack, featuring FIVE fresh, rib-tickling party games! Your phones or tablets are your controllers – no big mess of controllers needed. For up to 8 players plus an Audience of up to 10,000! It’s a game-night riot in a box… without the box!","['Casual', 'Indie', 'Strategy']"
Last Command,"Last Command is a fast-paced Snake x Bullet Hell action game. Maneuver through enemies’ barrage of attacks, collect Data Points to deal damage! Mix and match skill chips as you progress, overcome intense Boss battles, and uncover the secrets of their program world...","['Action', 'Indie', 'RPG']"
The Adventure of NAYU,Nayu is a fox who lives in a strangely cozy world.Go on a little adventure with Nayu ♪ in this adorable clicker-like game for everyone to enjoy.,"['Casual', 'Indie']"
Battle Chef Brigade Deluxe,"Battle Chef Brigade pairs combo-based hunting and puzzle-based cooking in a hand drawn, fantasy adventure. Cook your way into the Brigade while subduing Victusia’s destructive monsters. Follow Mina and Thrash in the single-player campaign or challenge your friends in Local Multiplayer and Daily Cook-Offs.","['Action', 'Adventure', 'Indie', 'RPG']"
Lords of the Realm II,"The great Lords of England have their eyes on the the English throne! Muster an army and overrun your enemies' castles in this classic, nail-biting strategy game that blends turn-based and real-time gameplay.","['RPG', 'Strategy']"
Heartbound,"Heartbound is a non-traditional role-playing game about a boy, his dog, secrets, and sanity.","['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']"
Master of Orion 2,Forge an empire in a universe where population growth is stripping away planetary resources. Colonize unknown planets and trade with other races for their knowledge.,['Strategy']
Chicken Police - Paint it RED!,"A wild tale of love, death, chickens, and redemption! Chicken Police is a buddy-cop noir adventure with a carefully crafted world, a gritty story, and absurd humor. The game mixes classic adventure games with visual novel-style storytelling, presented in a beak-droppingly unique art style.","['Adventure', 'Indie']"
EXAPUNKS,"The year is 1997. You used to be a hacker, but now you have the phage. You made a deal: one hack, one dose. There’s nothing left to lose… except your life.","['Indie', 'Simulation']"
Mushihimesama,"Battle huge ""Koju"" bugs in CAVE's beautiful fantasy shooter, Mushihimesama. Experience the thrill of bullet hell from the masters of the genre as you evade visually stunning shot patterns with thousands of bullets.",['Action']
Freedom Planet 2,The fast paced platforming of Freedom Planet returns! Become a full-time cartoon heroine and use abilities and items suited to your play style to explore the world of Avalice and defend its animal citizens!,"['Action', 'Adventure', 'Indie']"
Utawarerumono: Mask of Truth,"Haku has sacrificed a lot to inherit a mask. With his natural wiles and the reputation of his departed friend, he strikes out on the path to a new future. The curtains rise on an era of strife that will shake Yamato to its very foundations.","['Adventure', 'RPG', 'Simulation', 'Strategy']"
RetroMaze,"A relaxing Retrowave stylized maze game that increases the difficulty as you progress through the levels. RetroMaze has 30 levels and a beautiful visual concept, as well as an exciting soundtrack.","['Casual', 'Indie']"
東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,"Fantastic Danmaku Festival is a Touhou Project fanfiction STG with colourful danmaku, beautiful remix music and original music. Besides the characters we know in Touhou Project, there is also a brand new original character named Nix in this game! With the Scarlet Devil mansion as their stage, the girls are soaring in the sky of Gensokyo!","['Action', 'Adventure', 'Casual', 'Indie']"
Toree 3D,A bite-sized 3D Platformer with a few weird elements.,"['Action', 'Adventure', 'Indie']"
The Darkside Detective: A Fumble in the Dark,"Delouse your room with sage and pack up your travel-sized ouija board, it’s time to re-enter Twin Lakes - America’s 34th most haunted city. Join Detective McQueen as he puzzles his way through 6 chilling cases, risking life and pixelated limb to solve the macabre mysteries that plague the poor town.","['Adventure', 'Casual', 'Indie']"
KARAKARA,"KARAKARA. It is the sound of aridity. It is the sound of dry asphalt and sandy winds. It is the sound of relentless sunshine, as well as the sound of a withering race.","['Casual', 'Indie']"
Stephen's Sausage Roll,A simple 3d puzzle game.,['Indie']
Indie Game: The Movie,"The emotional journey of four developers as they sacrifice money, health and sanity to realize their lifelong dreams of sharing their games with the world.",['Indie']
Pictopix,Pictopix is a puzzle game where you use logic to color squares on grids in order to reveal pictures.,"['Casual', 'Indie', 'Strategy']"
DYO,DYO is a mind-bending cooperative platformer for one or two players where you can hop between two halves of a split screen.,['Indie']
The Ramp,"A digital toy for skateboard loving people. Pure flow, no extra fluff.","['Casual', 'Indie', 'Simulation', 'Sports']"
Bramble: The Mountain King,"Bramble The Mountain King is a grim adventure set in a world inspired by dark, Nordic fables. Explore the beautiful yet dangerous and twisted land of Bramble in your endeavour to rescue your sister. Traverse a wondrous landscape and survive deadly encounters with Bramble's many hideous creatures.","['Adventure', 'Indie']"
Nyakori's Rabbit Doll,"Waking up in the beautiful night, maiden with cat’s ears whose name is Nyarutoru finds her friends nowhere. What are they waiting her ahead?",['Indie']
Gun Devil,"GUN DEVIL is an explosive platformer about rescuing your kidnapped hell wife from Satan's child, the Caramelized Dumbass and his Pimp Legion.","['Action', 'Adventure', 'Free to Play', 'Indie']"
I Expect You To Die 2,"Become an elite super spy ready for espionage, explosives, and gadgets galore. This popular escape-the-room VR franchise is back with more ingenious puzzles, cunning villains, and dangerous locales.",['Adventure']
The Bard's Tale Trilogy,"The Bard's Tale Trilogy is a complete remaster of the iconic series that helped define the RPG genre. Featuring updated graphics and optional quality of life gameplay features, this is the ideal way to experience the dungeon crawling challenge that made the original games beloved classics.",['RPG']
Shadow Man Remastered,"He is coming, stalking criminals in the spirit world and the real world. A possessed man is coming, a voodoo mask in his chest and lines of power in his back. Shadow Man is coming, trailing evil from Liveside to Deadside. To stop an apocalypse. To save your soul.","['Action', 'Adventure']"
Paradigm,"Paradigm is a surreal adventure game set in the strange and post apocalyptic Eastern European country of Krusz. Play as the handsome mutant, Paradigm, whose past comes back to haunt him in the form of a genetically engineered sloth that vomits candy.","['Adventure', 'Indie']"
Ultra Fight Da ! Kyanta 2,Ultra Fight Kyanta 2 is a fighting game with a frantic pace and easy to learn controls. You can perform special attacks using single button presses! Fight in 2D battles across various modes using teams of hand-drawn characters.,"['Action', 'Free to Play', 'Indie', 'Early Access']"
Capybara Spa,"Build your own capybara spa in this relaxing point and click simulation game! Grow fruits, craft soaps and clean towels to pamper the capybaras during their visit. Furnish the mountain with gardens, baths and decorations to design the best capybara spa!",['Simulation']
Vangers,"Mind-altering sandbox game that can be described as a racing role-playing adventure game with a complicated storyline. You’ll find a unique atmosphere, complete freedom and lots of gameplay hours to figure out what’s the game is all about.","['Action', 'Adventure', 'Indie', 'Racing']"
NEKO-NIN exHeart,"Japan. From time immemorial, there are those who possess superhuman abilities. These beings who looked like a cross between man and beast are called Demi-Humans. They acted as Ninja and served those in power.","['Action', 'Casual', 'Indie', 'Simulation']"
UNREAL LIFE,"And now, for today's story.","['Adventure', 'Indie']"
Railbound,A relaxing puzzle game about fixing train connections and travelling the world!,"['Casual', 'Indie']"
One Dreamer: Prologue,Modify the world around you with pseudocode as you journey through blended realities and discover why Frank became a game developer in the first place.,"['Free to Play', 'Indie']"
Tametsi,"Tametsi is a difficult logic game played on a set of tiles, in which you must use the clues provided to discover and mark hidden mines.",['Indie']
